N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
90,GS,"41,500",650,+1.59%,"5,000","38,560","92,915",18.65,"312,179",3.77,-2.82,
91,현대차2우B,"105,000",500,+0.48%,"5,000","38,310","36,485",61.76,"80,728",5.32,N/A,
92,아모레G,"45,950",350,+0.77%,500,"37,890","82,458",15.97,"90,924",25.80,0.31,
93,현대오토에버,"136,500","1,000",-0.73%,500,"37,434","27,424",2.20,"273,746",49.55,11.09,
94,메리츠증권,"5,370",80,+1.51%,"1,000","36,609","681,731",13.41,"2,163,507",5.45,13.08,
95,한국가스공사,"39,600","1,600",+4.21%,"5,000","36,556","92,313",10.41,"725,947",8.23,-2.24,
96,GS건설,"41,350",100,+0.24%,"5,000","35,388","85,581",26.00,"492,985",10.07,7.68,
97,한미약품,"288,500","5,000",-1.70%,"2,500","34,846","12,078",13.41,"37,936",45.06,1.65,
98,한솔케미칼,"305,000","6,000",+2.01%,"5,000","34,572","11,335",42.65,"56,180",23.79,24.50,
99,GS리테일,"31,550",700,+2.27%,"1,000","33,038","104,718",8.28,"293,869",3.19,7.50,
100,한전기술,"86,100","3,100",+3.73%,200,"32,907","38,220",1.78,"1,110,387",323.68,N/A,
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
101,롯데지주,"31,100",300,+0.97%,200,"32,627","104,909",8.33,"236,966",16.21,-3.03,
102,DB하이텍,"71,500","1,500",+2.14%,"5,000","31,745","44,399",23.98,"831,337",14.94,23.07,
103,두산퓨얼셀,"47,800","2,300",-4.59%,100,"31,306","65,494",15.32,"1,768,578",956.00,4.18,
104,TIGER 차이나전기차SOLACTIVE,"17,815",425,+2.44%,0,"31,162","174,920",0.14,"5,140,197",N/A,N/A,
105,한국항공우주,"31,850",100,+0.31%,"5,000","31,046","97,475",12.19,"462,678",216.67,6.39,
106,호텔신라,"78,200",300,+0.39%,"5,000","30,692","39,248",12.48,"224,861",-30.02,-36.74,
107,동서,"30,350",950,+3.23%,500,"30,259","99,700",2.85,"256,201",28.50,8.61,
108,만도,"63,100",400,+0.64%,"1,000","29,630","46,957",21.25,"291,698",13.29,0.37,
109,한화시스템,"15,650",250,-1.57%,"5,000","29,566","188,919",2.16,"714,593",18.97,9.35,
110,BNK금융지주,"8,940",140,+1.59%,"5,000","29,139","325,935",39.11,"3,952,945",3.57,6.11,
111,에스원,"76,600","1,000",+1.32%,500,"29,107","37,999",52.98,"54,848",19.15,10.48,
112,팬오션,"5,420",30,-0.55%,"1,000","28,974","534,570",11.55,"2,075,110",9.31,3.25,
113,키움증권,"109,000",500,+0.46%,"5,000","28,579","26,220",25.60,"117,613",3.13,27.63,
114,CJ대한통운,"125,000","4,000",-3.10%,"5,000","28,515","22,812",21.77,"189,563",96.82,3.89,
115,포스코인터내셔널,"22,800",50,-0.22%,"5,000","28,130","123,375",6.51,"1,334,089",9.22,7.69,
116,KCC,"315,000",0,0.00%,"5,000","27,992","8,886",12.43,"39,007",3.98,12.79,
117,제일기획,"24,150",400,+1.68%,200,"27,782","115,041",32.12,"326,274",14.23,16.11,
118,SK케미칼,"155,500","2,000",+1.30%,"5,000","27,400","17,621",16.39,"107,880",74.12,30.49,
119,솔루스첨단소재,"88,100","4,000",+4.76%,100,"26,950","30,590",8.26,"579,980",-346.85,-5.10,
120,씨에스윈드,"63,600","1,900",-2.90%,500,"26,821","42,171",10.70,"298,584",57.71,8.19,
121,현대미포조선,"66,900",500,-0.74%,"5,000","26,721","39,942",10.33,"413,210",-17.38,-0.84,
122,한화생명,"3,070",15,+0.49%,"5,000","26,664","868,530",8.08,"2,497,421",3.48,1.90,
123,효성첨단소재,"590,000","44,000",-6.94%,"5,000","26,432","4,480",11.11,"248,116",12.31,0.03,
124,녹십자,"222,000",0,0.00%,"5,000","25,944","11,687",22.89,"39,226",30.08,7.48,
125,BGF리테일,"150,000","4,500",+3.09%,"1,000","25,926","17,284",32.41,"21,548",18.77,18.60,
126,롯데쇼핑,"90,000","1,000",+1.12%,"5,000","25,460","28,289",10.99,"108,105",-9.57,-7.70,
127,CJ,"86,700","1,400",+1.64%,"5,000","25,296","29,177",17.22,"49,909",75.13,1.89,
128,현대차우,"103,000",500,+0.49%,"5,000","25,087","24,357",57.92,"74,589",5.22,N/A,
129,OCI,"104,500","1,000",-0.95%,"5,000","24,923","23,849",17.65,"280,284",12.46,-9.89,
130,신세계,"250,000","2,000",+0.81%,"5,000","24,613","9,845",24.53,"45,307",9.40,-2.81,
131,대우조선해양,"22,650",100,-0.44%,"5,000","24,301","107,291",5.41,"373,148",-1.64,2.27,
132,대우건설,"5,820",30,+0.52%,"5,000","24,189","415,623",11.18,"1,284,510",4.94,11.06,
133,한화,"32,200",350,+1.10%,"5,000","24,137","74,959",16.26,"286,923",5.45,4.79,
134,한화에어로스페이스,"47,000",50,+0.11%,"5,000","23,796","50,630",16.57,"279,836",8.53,4.78,
135,DL이앤씨,"122,500",0,0.00%,"5,000","23,714","19,359",25.43,"128,077",N/A,N/A,
136,효성티앤씨,"543,000","8,000",+1.50%,"5,000","23,499","4,328",18.14,"45,417",3.33,25.10,
137,LG화학우,"304,500","5,500",+1.84%,"5,000","23,412","7,689",69.90,"26,369",7.93,N/A,
138,KODEX 200선물인버스2X,"2,130",25,-1.16%,0,"23,027","1,081,100",3.30,"96,563,208",N/A,N/A,
139,TIGER 200,"40,250",300,+0.75%,0,"22,862","56,800",0.00,"1,364,127",N/A,N/A,
140,더존비즈온,"74,000","1,500",+2.07%,500,"22,483","30,383",39.96,"89,013",36.22,15.09,
141,한샘,"95,100","2,900",-2.96%,"1,000","22,381","23,534",16.97,"197,546",27.98,10.83,
142,현대로템,"20,400",100,-0.49%,"5,000","22,265","109,142",4.15,"622,549",71.08,2.84,
143,현대해상,"24,900",50,+0.20%,500,"22,261","89,400",25.24,"744,625",5.82,7.13,
144,현대위아,"81,100","1,000",-1.22%,"5,000","22,055","27,195",7.04,"322,845",60.43,1.96,
145,효성,"104,000","2,000",+1.96%,"5,000","21,914","21,071",8.12,"132,178",5.66,-2.26,
146,하이트진로,"30,850",300,+0.98%,"5,000","21,636","70,134",4.34,"196,383",42.03,8.23,
147,휠라홀딩스,"35,000",200,-0.57%,"1,000","21,263","60,752",43.88,"267,907",9.04,10.94,
148,후성,"22,300","1,050",+4.94%,500,"20,651","92,607",7.81,"3,194,693",75.08,2.79,
149,롯데정밀화학,"78,400","2,000",+2.62%,"5,000","20,227","25,800",22.10,"151,123",4.75,12.65,
150,두산,"119,500","3,500",+3.02%,"5,000","19,746","16,524",10.57,"56,801",-68.84,-34.34,
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
151,KODEX MSCI Korea TR,"12,925",65,+0.51%,0,"19,672","152,200",0.00,"345,384",N/A,N/A,
152,영원무역,"44,200",850,+1.96%,500,"19,586","44,311",27.94,"107,385",8.50,8.03,
153,일진하이솔루스,"53,900","5,900",-9.87%,500,"19,573","36,313",3.15,"1,182,519",100.56,34.27,
154,농심,"320,000","1,500",+0.47%,"5,000","19,464","6,083",12.58,"20,217",18.24,7.50,
155,코오롱인더,"70,100","2,800",-3.84%,"5,000","19,291","27,519",18.99,"770,973",10.88,9.70,
156,TIGER 미국나스닥100,"88,120","1,285",+1.48%,0,"18,902","21,450",0.01,"129,042",N/A,N/A,
157,대웅,"31,800",200,+0.63%,500,"18,489","58,142",4.40,"64,855",17.51,15.10,
158,한미반도체,"36,850",250,+0.68%,200,"18,226","49,460",6.42,"469,356",21.91,21.03,
159,LS,"55,000",800,+1.48%,"5,000","17,710","32,200",14.01,"117,285",6.91,3.94,
160,한전KPS,"39,100",950,+2.49%,200,"17,595","45,000",6.50,"370,671",14.56,8.23,
161,현대백화점,"74,700",0,0.00%,"5,000","17,482","23,402",18.14,"62,980",11.30,1.65,
162,오뚜기,"470,000","3,500",+0.75%,"5,000","17,258","3,672",11.76,"3,992",15.60,7.93,
163,JB금융지주,"8,730",140,+1.63%,"5,000","17,197","196,983",41.72,"989,821",3.60,10.06,
164,신풍제약,"32,300",550,+1.73%,500,"17,114","52,985",11.22,"579,089","5,383.33",1.72,
165,LS ELECTRIC,"57,000","1,000",+1.79%,"5,000","17,100","30,000",17.96,"79,062",21.10,6.15,
166,대웅제약,"147,500","1,000",+0.68%,"2,500","17,090","11,587",6.92,"58,164",148.09,2.38,
167,현대엘리베이,"41,800",400,+0.97%,"5,000","17,061","40,815",28.20,"101,253",26.93,9.78,
168,KODEX 레버리지,"24,225",320,+1.34%,0,"16,958","70,000",1.19,"12,746,496",N/A,N/A,
169,NHN,"85,500","1,500",+1.79%,500,"16,728","19,565",18.26,"265,064",51.51,1.35,
170,DGB금융지주,"9,870",100,+1.02%,"5,000","16,695","169,146",48.82,"1,114,571",3.53,6.93,
171,케이카,"33,200",200,+0.61%,500,"15,965","48,087",18.30,"230,033",55.15,15.11,
172,KODEX 단기채권,"103,105",10,+0.01%,0,"15,950","15,470",0.00,"22,371",N/A,N/A,
173,PI첨단소재,"53,300",900,+1.72%,500,"15,652","29,366",13.39,"164,966",26.76,15.62,
174,TIGER MSCI Korea TR,"16,205",65,+0.40%,0,"15,605","96,300",16.61,"7,191",N/A,N/A,
175,HDC현대산업개발,"23,650",150,+0.64%,"5,000","15,587","65,907",10.34,"190,915",5.14,8.85,
176,에스엘,"32,150",600,+1.90%,500,"15,497","48,203",15.57,"229,115",10.66,4.74,
177,한국앤컴퍼니,"16,250",250,+1.56%,500,"15,427","94,935",9.71,"228,815",6.24,5.08,
178,명신산업,"29,400",500,-1.67%,500,"15,426","52,470",2.93,"848,594",-12.75,-67.39,
179,동국제강,"15,950",100,-0.62%,"5,000","15,222","95,433",23.10,"533,624",3.37,3.35,
180,동원시스템즈,"51,900",200,+0.39%,"5,000","15,149","29,188",13.20,"33,939",23.51,10.97,
181,대한전선,"1,760",15,+0.86%,500,"15,074","856,473",2.66,"3,957,622",45.13,0.92,
182,KODEX 삼성그룹,"9,880",0,0.00%,0,"14,909","150,900",1.45,"439,548",N/A,N/A,
183,한일시멘트,"21,200",600,+2.91%,500,"14,683","69,262",2.50,"105,115",13.97,N/A,
184,KODEX 종합채권(AA-이상)액티브,"108,340",60,-0.06%,0,"14,610","13,485",0.00,"2,019",N/A,N/A,
185,아시아나항공,"19,550",100,-0.51%,"5,000","14,547","74,412",7.70,"477,861",-3.36,-43.83,
186,LIG넥스원,"65,500",600,-0.91%,"5,000","14,410","22,000",6.80,"398,350",15.27,8.86,
187,TIGER 단기통안채,"100,500",0,0.00%,0,"14,176","14,105",0.86,"20,463",N/A,N/A,
188,종근당,"121,000","1,000",+0.83%,"2,500","13,826","11,426",8.12,"44,856",26.42,17.88,
189,롯데리츠,"5,660",10,+0.18%,500,"13,752","242,969",9.62,"512,770",35.38,1.68,
190,롯데렌탈,"37,300",200,+0.54%,"5,000","13,664","36,634",1.72,"61,850",12.93,6.73,
191,아이에스동서,"44,100",400,-0.90%,500,"13,624","30,893",5.57,"126,466",25.26,10.92,
192,ESR켄달스퀘어리츠,"6,340",20,-0.31%,"1,000","13,510","213,089",32.31,"703,793",166.84,1.14,
193,F&F홀딩스,"34,300",650,+1.93%,500,"13,416","39,114",0.87,"79,836",0.28,16.59,
194,현대두산인프라코어,"6,770",60,-0.88%,"1,000","13,366","197,435",9.56,"5,378,561",5.79,6.47,
195,코스모신소재,"44,300","1,200",+2.78%,"1,000","13,328","30,087",6.57,"575,406",56.79,7.16,
196,DL,"63,000",0,0.00%,"5,000","13,202","20,956",12.25,"76,914",2.00,11.84,
197,한화투자증권,"6,150",60,+0.99%,"5,000","13,195","214,548",6.45,"5,694,640",10.34,5.58,
198,금호타이어,"4,560",60,-1.30%,"5,000","13,099","287,260",4.30,"417,370",-18.24,-6.74,
199,LG생활건강우,"618,000","2,000",-0.32%,"5,000","12,976","2,100",84.20,"1,032",12.86,N/A,
200,녹십자홀딩스,"27,500",0,0.00%,500,"12,933","47,028",5.30,"72,247",8.66,19.74,
