N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
117,KCC,"315,000","7,000",+2.27%,"5,000","27,992","8,886",12.50,"49,233",3.98,12.79,
118,씨에스윈드,"65,500",700,+1.08%,500,"27,622","42,171",10.84,"194,192",59.44,8.19,
119,제일기획,"23,750",150,+0.64%,200,"27,322","115,041",32.23,"198,214",14.00,16.11,
120,SK케미칼,"153,500",500,+0.33%,"5,000","27,048","17,621",16.45,"68,136",73.16,30.49,
121,현대미포조선,"67,400","2,000",-2.88%,"5,000","26,921","39,942",10.40,"472,416",-17.51,-0.84,
122,한화생명,"3,055",5,+0.16%,"5,000","26,534","868,530",8.05,"1,624,650",3.47,1.90,
123,녹십자,"222,000","3,500",+1.60%,"5,000","25,944","11,687",22.71,"58,407",30.08,7.48,
124,솔루스첨단소재,"84,100","2,000",-2.32%,100,"25,726","30,590",8.38,"218,375",-331.10,-5.10,
125,롯데쇼핑,"89,000",100,+0.11%,"5,000","25,177","28,289",10.96,"75,939",-9.46,-7.70,
126,OCI,"105,500",500,+0.48%,"5,000","25,161","23,849",18.29,"286,043",12.58,-9.89,
127,BGF리테일,"145,500","1,500",-1.02%,"1,000","25,148","17,284",32.40,"17,213",18.21,18.60,
128,현대차우,"102,500",500,+0.49%,"5,000","24,966","24,357",57.91,"48,309",5.19,N/A,
129,CJ,"85,300",600,+0.71%,"5,000","24,888","29,177",17.26,"34,776",73.92,1.89,
130,신세계,"248,000","1,000",+0.40%,"5,000","24,416","9,845",24.50,"26,154",9.32,-2.81,
131,대우조선해양,"22,750",250,-1.09%,"5,000","24,409","107,291",5.40,"191,051",-1.65,2.27,
132,대우건설,"5,790",80,-1.36%,"5,000","24,065","415,623",11.24,"723,069",4.92,11.06,
133,한화,"31,850",100,-0.31%,"5,000","23,874","74,959",16.33,"227,158",5.39,4.79,
134,한화에어로스페이스,"46,950",200,+0.43%,"5,000","23,771","50,630",16.54,"283,263",8.52,4.78,
135,DL이앤씨,"122,500","1,500",-1.21%,"5,000","23,714","19,359",25.46,"71,556",N/A,N/A,
136,효성티앤씨,"535,000","12,000",-2.19%,"5,000","23,153","4,328",18.27,"23,740",3.28,25.10,
137,한샘,"98,000",300,+0.31%,"1,000","23,063","23,534",16.98,"86,825",28.83,10.83,
138,KODEX 200선물인버스2X,"2,155",25,+1.17%,0,"23,007","1,067,600",2.95,"73,247,994",N/A,N/A,
139,LG화학우,"299,000","3,000",+1.01%,"5,000","22,990","7,689",69.92,"13,027",7.79,N/A,
140,현대로템,"20,500",50,-0.24%,"5,000","22,374","109,142",4.29,"697,756",71.43,2.84,
141,현대위아,"82,100","1,100",-1.32%,"5,000","22,327","27,195",7.22,"316,111",61.18,1.96,
142,현대해상,"24,850",100,+0.40%,500,"22,216","89,400",25.33,"433,076",5.80,7.13,
143,더존비즈온,"72,500","1,100",-1.49%,500,"22,028","30,383",39.97,"114,913",35.49,15.09,
144,일진하이솔루스,"59,800",900,+1.53%,500,"21,715","36,313",3.11,"141,801",111.57,34.27,
145,TIGER 200,"39,950",190,-0.47%,0,"21,653","54,200",0.00,"831,154",N/A,N/A,
146,효성,"102,000","1,000",-0.97%,"5,000","21,492","21,071",8.20,"62,707",5.55,-2.26,
147,하이트진로,"30,550",100,+0.33%,"5,000","21,426","70,134",4.36,"115,487",41.62,8.23,
148,휠라홀딩스,"35,200",0,0.00%,"1,000","21,385","60,752",43.88,"107,809",9.09,10.94,
149,코오롱인더,"72,900",100,-0.14%,"5,000","20,061","27,519",19.19,"217,280",11.31,9.70,
150,롯데정밀화학,"76,400",500,+0.66%,"5,000","19,711","25,800",22.11,"109,686",4.63,12.65,
151,후성,"21,250",250,-1.16%,500,"19,679","92,607",7.93,"1,161,093",71.55,2.79,
152,KODEX MSCI Korea TR,"12,860",70,-0.54%,0,"19,573","152,200",3.73,"295,889",N/A,N/A,
153,농심,"318,500","3,000",+0.95%,"5,000","19,373","6,083",12.55,"30,199",18.15,7.50,
154,영원무역,"43,350",50,+0.12%,500,"19,209","44,311",27.91,"44,771",8.33,8.03,
155,두산,"116,000","1,500",-1.28%,"5,000","19,168","16,524",10.58,"57,865",-66.82,-34.34,
156,TIGER 미국나스닥100,"86,835",245,+0.28%,0,"18,574","21,390",0.01,"106,609",N/A,N/A,
157,대웅,"31,600",300,+0.96%,500,"18,373","58,142",4.36,"61,421",17.40,15.10,
158,한미반도체,"36,600",500,+1.39%,200,"18,102","49,460",6.40,"544,525",21.76,21.03,
159,KODEX 레버리지,"23,905",275,-1.14%,0,"17,642","73,800",1.29,"9,610,218",N/A,N/A,
160,현대백화점,"74,700",100,+0.13%,"5,000","17,482","23,402",18.15,"27,966",11.30,1.65,
161,LS,"54,200",600,+1.12%,"5,000","17,452","32,200",13.97,"75,253",6.81,3.94,
162,한전KPS,"38,150",100,-0.26%,200,"17,168","45,000",6.41,"236,281",14.21,8.23,
163,오뚜기,"466,500","1,500",-0.32%,"5,000","17,130","3,672",11.78,"2,062",15.49,7.93,
164,대웅제약,"146,500",500,+0.34%,"2,500","16,974","11,587",6.84,"37,364",147.09,2.38,
165,JB금융지주,"8,590",80,-0.92%,"5,000","16,921","196,983",41.76,"525,957",3.54,10.06,
166,현대엘리베이,"41,400",0,0.00%,"5,000","16,897","40,815",28.31,"85,036",26.68,9.78,
167,신풍제약,"31,750",550,+1.76%,500,"16,823","52,985",10.97,"542,757","5,291.67",1.72,
168,LS ELECTRIC,"56,000",0,0.00%,"5,000","16,800","30,000",18.00,"72,371",20.73,6.15,
169,KODEX 단기채권,"103,095",0,0.00%,0,"16,670","16,170",0.00,"10,698",N/A,N/A,
170,DGB금융지주,"9,770",30,-0.31%,"5,000","16,526","169,146",48.81,"641,303",3.49,6.93,
171,NHN,"84,000","9,200",-9.87%,500,"16,435","19,565",18.31,"434,673",50.60,1.35,
172,케이카,"33,000",750,+2.33%,500,"15,869","48,087",18.23,"410,714",54.82,15.11,
173,명신산업,"29,900",700,-2.29%,500,"15,689","52,470",3.17,"663,746",-12.97,-67.39,
174,TIGER MSCI Korea TR,"16,140",85,-0.52%,0,"15,543","96,300",0.00,"2,164",N/A,N/A,
175,HDC현대산업개발,"23,500",0,0.00%,"5,000","15,488","65,907",10.37,"120,031",5.11,8.85,
176,PI첨단소재,"52,400",800,-1.50%,500,"15,388","29,366",13.51,"101,288",26.31,15.62,
177,동국제강,"16,050",0,0.00%,"5,000","15,317","95,433",23.15,"376,620",3.39,3.35,
178,에스엘,"31,550",400,-1.25%,500,"15,208","48,203",15.69,"136,704",10.46,4.74,
179,한국앤컴퍼니,"16,000",150,-0.93%,500,"15,190","94,935",9.72,"57,077",6.14,5.08,
180,동원시스템즈,"51,700",700,-1.34%,"5,000","15,090","29,188",13.22,"22,719",23.41,10.97,
181,대한전선,"1,745",5,-0.29%,500,"14,945","856,473",2.56,"5,051,685",44.74,0.92,
182,KODEX 삼성그룹,"9,880",30,-0.30%,0,"14,909","150,900",1.46,"63,722",N/A,N/A,
183,KODEX 종합채권(AA-이상)액티브,"108,400",0,0.00%,0,"14,835","13,685",0.00,"5,411",N/A,N/A,
184,아시아나항공,"19,650",500,-2.48%,"5,000","14,622","74,412",7.85,"756,848",-3.38,-43.83,
185,LIG넥스원,"66,100","3,400",+5.42%,"5,000","14,542","22,000",6.66,"550,197",15.41,8.86,
186,한일시멘트,"20,600",400,-1.90%,500,"14,268","69,262",2.51,"164,318",13.57,N/A,
187,TIGER 단기통안채,"100,500",0,0.00%,0,"14,254","14,183",0.86,"62,397",N/A,N/A,
188,아이에스동서,"44,500",800,+1.83%,500,"13,747","30,893",5.48,"152,284",25.49,10.92,
189,롯데리츠,"5,650",10,+0.18%,500,"13,728","242,969",9.61,"291,469",35.31,1.68,
190,종근당,"120,000","4,000",+3.45%,"2,500","13,711","11,426",7.96,"175,444",26.21,17.88,
191,롯데렌탈,"37,100",50,-0.13%,"5,000","13,591","36,634",1.50,"59,498",12.86,6.73,
192,금호타이어,"4,620",55,+1.20%,"5,000","13,271","287,260",4.32,"455,548",-18.48,-6.74,
193,DL,"63,000",900,-1.41%,"5,000","13,202","20,956",12.40,"54,699",2.00,11.84,
194,F&F홀딩스,"33,650",300,+0.90%,500,"13,162","39,114",0.86,"54,648",0.28,16.59,
195,한화투자증권,"6,090",240,-3.79%,"5,000","13,066","214,548",6.35,"4,804,254",10.24,5.58,
196,LG생활건강우,"620,000","4,000",+0.65%,"5,000","13,018","2,100",84.21,686,12.90,N/A,
197,코스모신소재,"43,100",600,-1.37%,"1,000","12,967","30,087",6.59,"305,462",55.26,7.16,
